,C=O,CN,C[NH3+],N,CS,CCl,NN,CC,[NH2+]=O,[NH4+],C1=CC=CC=C1,CF,CO,C1CCOCC1,C,C1=CC=NC=C1,CBr,[NH3+][O-]
4-Methoxyphenyl ß-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl α-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl α-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Bromophenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
4-Chlorophenyl β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
4-Fluorophenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
4-Hydroxyphenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
4-Methylphenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
Phenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
4-(Methoxycarbonyl)phenyl ß-D-glucopyranoside,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0
4-Trifluoromethylphenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0
4-Nitrophenyl ß-D-glucopyranoside,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0
4-Bromophenyl ß-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
4-Chlorophenyl ß-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
4-Fluorophenyl β-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
4-Hydroxyphenyl ß-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
4-Methylphenyl β-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
Phenyl β-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
Methyl 4-(β-D-galactopyranosyloxy)benzoate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0
4-Acetamidophenyl β-D-galactopyranoside,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
4-(Trifluoromethyl)phenyl β-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0
4-Nitrophenyl β-D-galactopyranoside,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0
3-Methylphenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
3-Methoxyphenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
3-Hydroxyphenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
3-Bromophenyl β-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
2-Bromophenyl β-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
3-Acetamidophenyl ß-D-galactopyranoside,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
4-Trifluoromethoxyphenyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0
Phenyl alpha-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
4-Fluorophenyl alpha-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
4-Bromophenyl alpha-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
4-Ethoxyphenyl β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Propoxyphenyl β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
2-Methoxyphenyl β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Trifluoromethoxyphenyl ß-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0
