Name,0.0025,0.0075,0.0125,0.0175,0.0225,0.0275,0.0325,0.0375,0.0425,0.0475,0.0525,0.0575,0.0625,0.0675,0.0725,0.0775,0.0825,0.0875,0.0925,0.0975,0.1025,0.1075,0.1125,0.1175,0.1225,0.1275,0.1325,0.1375,0.1425,0.1475,0.1525,0.1575,0.1625,0.1675,0.1725,0.1775,0.1825,0.1875,0.1925,0.1975,0.2025,0.2075,0.2125,0.2175,0.2225,0.2275,0.2325,0.2375,0.2425,0.2475,0.2525,0.2575,0.2625,0.2675,0.2725,0.2775,0.2825,0.2875,0.2925,0.2975,0.3025,0.3075,0.3125,0.3175,0.3225,0.3275,0.3325,0.3375,0.3425,0.3475,0.3525,0.3575,0.3625,0.3675,0.3725,0.3775,0.3825,0.3875,0.3925,0.3975,0.4025,0.4075,0.4125,0.4175,0.4225,0.4275,0.4325,0.4375,0.4425,0.4475,0.4525,0.4575,0.4625,0.4675,0.4725,0.4775,0.4825,0.4875,0.4925,0.4975
L-alpha-alanine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.1643,0.5075,1.0673,1.4879,1.8214,1.7805,1.7209999999999999,1.4398,1.1568,0.9139,0.82,0.6873,0.6068,0.5077,0.626,0.7166,1.1111,1.8798,3.2704,4.4668,5.3375,5.2725,4.9033,4.4645,3.9115,3.5285,3.2428,2.9808,2.943,2.7526,2.7371,2.7778,2.6987,2.8985,2.8729,3.0239999999999996,2.9781,3.0415,3.1961,3.1339,3.1351,3.3937,3.41,3.5531,3.6046,3.6545,3.7334,3.7307,4.0136,4.099,3.9235,4.0207,4.119,4.0204,4.0342,4.0373,3.9868,4.1409,4.0874,4.1237,4.0125,3.8753,3.9216,3.9695,3.9532,4.0126,3.958
L-valine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.012,0.0832,0.3081,0.6115,0.9706,1.3869,1.4305,1.4268,1.3484,1.1534,0.9972,0.8359,0.7118,0.589,0.6105,0.6203,0.8490000000000001,1.2371,2.2119999999999997,3.6114,5.0756,5.7113,5.7022,5.2749,4.9551,4.5557,4.2359,3.9061,3.7669,3.5116,3.4365,3.3959,3.4004,3.1479,3.1834,3.1723,3.0806,3.1315,3.1981,3.1822,3.2739999999999996,3.2346,3.2616,3.3831,3.4037,3.3323,3.4866,3.39,3.5028,3.6143,3.6295,3.6729,3.6845,3.7185,3.6015,3.7478,3.7926,3.7385,3.6539,3.5596,3.7242,3.6761,3.6178,3.5208,3.6524,3.5998,3.7244,3.7717
L-leucine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0253,0.1171,0.4095,0.7833,1.2195,1.4473,1.4709,1.3584,1.1984,0.9639,0.7793,0.59,0.5014,0.4619,0.5391,0.5598,0.8495,1.3854,2.4676,3.9062,5.24,5.7961,5.888,5.5368,5.2163,4.7766,4.3388,4.0783,3.9384,3.8262,3.6676,3.5167,3.5056,3.4905,3.1645,3.2301,3.1538,3.1293,3.1313,3.1853,3.2312,3.1061,3.1911,3.2331,3.2032,3.378,3.3313,3.5239999999999996,3.4277,3.4817,3.4369,3.5379,3.5736,3.5848,3.5416,3.6205,3.6107,3.6165,3.5597,3.4782,3.5242,3.3552,3.5072,3.5626,3.4732,3.5723,3.7349,3.7568
L-isoleucine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0904,0.2494,0.624,0.9765,1.307,1.4107,1.426,1.2879,1.1079,0.8658,0.7208,0.6144,0.5218,0.5353,0.6263,0.8518,1.3483,2.188,3.5741,4.9248,5.7543,5.7516,5.5760000000000005,5.1982,4.7982,4.4716,4.2447,3.9785,3.7723,3.6501,3.6763,3.51,3.46,3.4444,3.2864,3.2762,3.2632,3.2835,3.2692,3.1895,3.2794,3.2333,3.2373,3.2969,3.2721,3.3167,3.4152,3.5115,3.4164,3.536,3.5246,3.6289,3.5353,3.5352,3.5004,3.458,3.6477,3.5718,3.5031,3.4104,3.5475,3.5463,3.4248,3.5860000000000003,3.5542,3.6052,3.7888
L-proline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0424,0.1651,0.4495,0.7336,0.9502,1.0014,0.9689,0.8625,0.7592,0.6133,0.5663,0.4758,0.4531,0.4791,0.6291,0.9597,1.5733,2.8922,4.7185,6.0745,6.6623,6.5551,6.0312,5.318,4.6592,4.244,3.9405,3.6697,3.3688,3.2455,3.1687,3.0538,2.9847,2.9847,2.8528,2.8878,2.9479,2.8301,2.9037,2.8753,2.9788,2.9496,3.0696,3.1563,3.2219,3.2922,3.4268,3.3479,3.4198,3.6136,3.511,3.8389,3.6983,3.792,3.9049,3.9538,3.9145,3.7538,3.803,3.8148,3.8789999999999996,3.8148,3.7542,3.8202,3.8206,3.8787,4.0126
L-methionine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0267,0.1399,0.4445,0.8222,1.2507,1.4821,1.4581,1.3153,1.1702,0.9452,0.7479,0.5791,0.4981,0.4623,0.439,0.5054,0.7877,1.2168,2.1914,3.6833,4.7243,5.3553,5.4631,5.1868,4.6779,4.3845,3.9872,3.7788,3.6603,3.4612,3.4895,3.4984,3.3485,3.4445,3.3964,3.5809,3.5043,3.4598,3.5208,3.5010000000000003,3.5576,3.6426,3.5444,3.5435,3.5882,3.5713,3.6947,3.5969,3.5613,3.5671,3.5946,3.6089,3.6609,3.6946,3.5862,3.5472,3.6301,3.656,3.5417,3.4931,3.484,3.6145,3.484,3.5301,3.5264,3.5714,3.6216,3.6954
L-phenylalanine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.024,0.1191,0.3846,0.7859,1.1273,1.3459,1.3411,1.2793,1.1196,0.8572,0.7028,0.5796,0.4521,0.4488,0.3952,0.484,0.7408,1.2176,2.2116,3.4203,4.7788,5.5552,5.3512,5.2531,4.7627,4.4866,4.2119,4.2198,3.9212,3.8302,3.9304,3.8055,3.9401,3.7908,3.8068,3.6811,3.6927,3.7028,3.5549,3.5406,3.4366,3.4755,3.47,3.4579,3.3615,3.5028,3.4571,3.5302,3.5296,3.5062,3.4713,3.438,3.5644,3.5183,3.5361,3.4678,3.4334,3.3842,3.3794,3.4296,3.4795,3.3495,3.3716,3.3957,3.3604,3.5631,3.6309,3.6439999999999997
L-tryptophan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0288,0.1347,0.4099,0.7674,1.1749,1.4196,1.4857,1.3915,1.2443,1.1091,0.9439,0.8386,0.7475,0.7349,0.7289,0.8488,1.0076,1.4027,2.2218,3.4,4.352,4.8671,4.7846,4.7181,4.2968,4.1273,3.9877,3.9015,3.9951,4.0795,4.0432,3.9615,3.9728,3.7489999999999997,3.6394,3.634,3.5348,3.5511,3.447,3.5181,3.4239,3.3748,3.3966,3.4431,3.428,3.5261,3.4785,3.5603,3.5593,3.4997,3.5175,3.5571,3.4936,3.5473,3.5077,3.4928,3.4737,3.3844,3.5291,3.4266,3.4194,3.5316,3.4564,3.471,3.475,3.5259,3.6109,3.6865
L-threonine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0282,0.1091,0.4179,0.9121,1.5218,1.8997,2.0396,1.9434,1.6994,1.4406,1.1909,1.0558,0.8554,0.7481,0.6963,0.7306,0.8395,1.2182,2.0281,3.2816,4.5539,5.1585,5.4282,5.1157,4.6665,4.071000000000001,3.6634,3.3014,3.1166,2.8948,2.9071,2.7407,2.7883,2.7653,2.7127,2.8234,2.9319,2.9148,2.8851,3.0479,3.1345,3.1591,3.2432,3.3284,3.4043,3.4954,3.5125,3.6536,3.7051,3.7597,3.7743,3.8680000000000003,3.9841,3.9565,3.9646,3.9869,3.9756,4.0587,3.9739999999999998,3.95,3.9191,3.8372,3.8702,3.858,3.8181,3.8176,3.9530000000000003,3.8934
