Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
L-alpha-alanine,5.35209,202.75799,-0.57000,-2.63330,89.04768,2.66667,0.34456,0.66667,3,3,0.13823,9.76371,4.47350,1.13186,0.85465,0.66667,-0.57000,0.00923,0.81567,1.76763,1.72155,0.51921,0.95498,0,0,0,0,0,0,0,2,1,3,0,3,3,0,3,0,0,0,0.60004,103.44666,0.54042,67.77000
L-valine,6.53964,352.75251,-0.57000,-1.99720,117.07898,2.12500,0.34457,0.80000,3,3,0.18883,14.76371,6.97350,1.63186,0.89602,0.80000,-0.57000,0.00435,1.01115,2.66781,1.93032,0.44401,0.80397,0,0,0,0,0,0,0,2,1,3,0,3,3,0,5,0,0,0,0.61105,184.84731,0.37121,67.77000
L-leucine,6.79647,432.91734,-0.57000,-1.60710,131.09463,2.22222,0.34456,0.83333,3,3,0.20737,17.26371,8.22350,1.88186,0.90581,0.83333,-0.57000,0.00361,1.11498,3.45452,3.96836,0.42369,0.84531,0,0,0,0,0,0,0,2,1,3,0,3,3,0,6,0,0,0,0.73032,234.45255,0.42377,67.77000
L-isoleucine,6.95724,448.91734,-0.57000,-1.60710,131.09463,2.33333,0.34457,0.83333,3,3,0.32834,17.26371,8.22350,1.88186,0.94797,0.83333,-0.57000,0.00450,1.11498,3.45452,2.46357,0.31835,0.87254,0,0,0,0,0,0,0,2,1,3,0,3,3,0,6,0,0,0,0.59394,193.90623,0.32306,67.77000
L-proline,3.71297,351.58250,-0.57000,-2.53790,115.06333,2.25000,0.34637,0.80000,2,3,0.36364,12.76371,6.24989,1.85546,0.95442,0.80000,-0.57000,0.00802,1.13798,2.13200,0.97958,0.29845,0.95003,0,1,1,0,0,0,0,2,1,3,1,3,2,1,1,0,1,1,0.66241,118.53148,0.44687,56.74000
L-methionine,5.97658,389.25517,-0.22000,-1.90010,149.05105,2.44444,0.34456,0.80000,3,3,0.40616,15.17196,7.13174,2.60660,0.96257,0.80000,-0.22000,0.00472,1.50682,4.63927,4.29414,0.27104,0.96781,0,0,0,0,0,0,0,3,1,4,0,3,3,0,6,0,0,0,0.76858,205.22880,0.42905,67.77000
L-phenylalanine,3.91677,641.43661,-1.35000,-1.41050,165.07898,1.83333,0.34457,0.22222,3,3,0.29771,16.76371,8.22350,2.88186,0.93977,0.22222,-1.35000,0.00281,2.11587,3.87520,2.35865,0.34180,0.86274,0,0,0,0,1,0,1,2,1,3,0,3,3,1,4,0,0,0,0.72219,306.75889,0.34300,67.77000
L-tryptophan,3.11258,965.12351,-1.81000,-0.92920,204.08988,1.86667,0.34457,0.18182,4,4,0.45687,19.21092,9.61792,3.82907,0.97244,0.18182,-1.81000,0.00207,2.85747,3.74448,1.84536,0.23316,0.84116,0,0,0,0,1,1,2,2,2,4,1,4,4,2,4,0,0,0,0.62441,406.90338,0.20940,83.56000
L-threonine,6.04175,312.34328,-0.61000,-3.27240,119.05824,2.50000,0.34464,0.75000,4,4,0.19170,12.67196,5.83587,1.58598,0.89760,0.75000,-0.61000,0.00444,1.27400,2.63727,1.90208,0.44080,0.80428,0,0,0,0,0,0,0,3,2,4,0,4,4,0,5,0,0,0,0.61419,181.20508,0.39360,88.00000
L-serine,5.44820,238.82474,-0.61000,-3.66090,105.04259,2.71429,0.34463,0.66667,4,4,0.28402,10.17196,4.58587,1.33598,0.93367,0.66667,-0.61000,0.00789,1.20930,2.54399,2.13212,0.35813,0.92881,0,0,0,0,0,0,0,3,2,4,0,4,4,0,4,0,0,0,0.57792,117.78908,0.46808,88.00000
L-cysteine,5.44820,241.57963,-0.22000,-2.72340,121.01975,2.71429,0.34459,0.66667,3,3,0.43208,10.17196,4.58587,1.74423,0.96784,0.66667,-0.22000,0.00763,1.38683,2.87292,2.47204,0.25155,0.93961,0,0,0,0,0,0,0,3,2,4,0,3,3,0,4,0,0,0,0.57750,123.12608,0.40748,67.77000
L-glutamine,6.18064,419.60635,-1.10000,-3.38770,146.06914,2.10000,0.34456,0.60000,5,5,0.27325,14.61917,6.79565,2.05959,0.93182,0.60000,-1.10000,0.00344,1.73356,3.83756,3.84857,0.36292,0.87811,0,0,0,1,0,0,0,3,2,5,0,5,5,0,5,0,0,0,0.87460,255.22173,0.53429,110.86000
L-glycine,4.56898,150.21717,-0.57000,-3.02180,75.03203,2.60000,0.34433,0.50000,3,3,0.27127,7.26371,3.22350,0.88186,0.93162,0.50000,-0.57000,0.01371,0.73339,1.72155,3.43000,0.36344,0.81002,0,0,0,0,0,0,0,2,1,3,0,3,3,0,2,0,0,0,0.59012,59.10299,0.60769,67.77000
L-asparagine,5.82050,340.15222,-1.10000,-3.77780,132.05349,2.22222,0.34457,0.50000,5,5,0.40076,12.11917,5.54565,1.80959,0.96294,0.50000,-1.10000,0.00543,1.69415,3.03231,3.47971,0.26972,0.91284,0,0,0,1,0,0,0,3,2,5,0,5,5,0,4,0,0,0,0.78322,168.11368,0.45004,110.86000
L-histidine,3.66121,552.61316,-1.36000,-2.68740,155.06948,2.45455,0.34457,0.33333,4,5,0.27243,14.15814,6.81514,2.52628,0.93170,0.33333,-1.36000,0.00333,2.07116,3.15650,2.04749,0.36322,0.87088,0,0,0,0,0,1,1,3,2,5,1,5,4,1,4,0,0,0,0.73939,261.57659,0.44327,96.45000
L-lysine,6.72432,535.12012,-0.61000,-3.24100,147.11280,1.90000,0.34456,0.83333,6,4,0.47775,19.71092,9.28874,2.10546,0.97346,0.83333,-0.61000,0.00453,1.20817,5.19660,4.28669,0.22886,0.99435,0,0,0,0,0,0,0,2,2,4,0,4,6,0,7,0,0,0,0.87002,219.51157,0.40273,95.41000
L-arginine,6.68388,611.91862,-1.30000,-5.20960,175.11895,2.33333,0.34456,0.66667,8,6,0.51994,20.60535,9.60399,2.52628,0.97938,0.66667,-1.30000,0.00343,1.65019,5.36338,5.48223,0.20201,0.96688,0,0,0,0,0,0,0,2,4,6,0,6,8,0,6,0,0,0,0.90851,281.84170,0.39952,131.41000
L-glutamate,6.12061,378.17383,-1.10000,-4.12310,146.04588,1.80000,0.34456,0.60000,3,5,0.27884,12.58021,5.88174,2.04010,0.93375,0.60000,-1.10000,0.00352,2.19710,3.83756,3.84857,0.35792,0.87426,0,0,0,0,0,0,0,4,1,5,0,5,3,0,5,0,0,0,0.84973,248.50408,0.52977,107.90000
L-aspartate,5.72865,299.99724,-1.10000,-4.51320,132.03023,1.88889,0.34457,0.50000,3,5,0.17187,10.08021,4.63174,1.79010,0.88599,0.50000,-1.10000,0.00399,2.26019,3.03231,3.47971,0.46370,0.85777,0,0,0,0,0,0,0,4,1,5,0,5,3,0,4,0,0,0,0.82054,215.12414,0.66098,107.90000
Beta-alanine,5.15883,220.26777,-0.57000,-2.63170,89.04768,2.33333,0.34402,0.66667,3,3,0.51000,9.76371,4.47350,1.13186,0.97901,0.66667,-0.57000,0.01433,0.81567,2.65573,3.43000,0.20382,0.90070,0,0,0,0,0,0,0,2,1,3,0,3,3,0,3,0,0,0,0.60201,62.84644,0.43311,67.77000
Betaine,6.72228,326.71341,-0.57000,-1.55750,117.07898,1.87500,0.11831,0.80000,0,3,0.24821,14.76371,7.05268,1.55268,0.92221,0.80000,-0.57000,0.00593,1.01115,2.13200,5.43000,0.38669,0.89722,0,0,0,0,0,0,0,2,0,3,0,3,0,0,5,0,0,0,0.87114,151.31400,0.76070,40.13000
4-fluoro-DL-phenylalanine,3.91677,646.27108,-1.42000,-1.27140,183.06956,1.84615,0.34457,0.22222,3,3,0.40150,16.14167,7.91248,3.07084,0.96331,0.22222,-1.42000,0.00274,2.78341,4.00020,2.83329,0.26840,0.89884,0,0,0,0,1,0,1,2,1,4,0,3,3,1,4,0,0,0,0.72328,328.43142,0.34108,67.77000
4-chloro-L-phenylalanine,3.91677,646.27108,-1.06000,-0.75710,199.04001,1.84615,0.34457,0.22222,3,3,0.48166,16.14167,7.91248,3.44880,0.97535,0.22222,-1.06000,0.00269,2.96870,4.25416,3.04695,0.22066,0.92354,0,0,0,0,1,0,1,2,1,4,0,3,3,1,4,0,0,0,0.73166,343.82754,0.34795,67.77000
4-amino-L-phenylalanine,3.96137,688.51300,-1.55000,-1.82830,180.08988,1.92308,0.34457,0.22222,5,4,0.38117,18.21092,8.84153,3.10546,0.95944,0.22222,-1.55000,0.00271,2.27380,3.90952,2.75739,0.28193,0.89854,0,0,0,0,1,0,1,3,2,4,0,4,5,1,5,0,0,0,0.71585,331.96223,0.29077,93.79000
4-cyano-L-phenylalanine,3.97270,724.47157,-1.86000,-1.53882,190.07423,1.85714,0.34457,0.20000,3,4,0.51705,16.71092,8.19710,3.35546,0.97957,0.20000,-1.86000,0.00291,3.07350,4.39698,2.57428,0.20109,0.92840,0,0,0,0,1,0,1,3,1,4,0,4,3,1,4,0,0,0,0.67946,318.76886,0.24109,91.56000
L-tert-leucine,7.30310,405.36847,-0.57000,-1.60710,131.09463,2.00000,0.34458,0.83333,3,3,0.12967,17.26371,8.22350,1.88186,0.85435,0.83333,-0.57000,0.00366,1.11498,2.35136,2.46357,0.51970,0.86953,0,0,0,0,0,0,0,2,1,3,0,3,3,0,2,0,0,0,0.85164,237.74198,0.68534,67.77000
N-methyl-L-alanine,5.85082,292.86456,-0.57000,-2.68200,103.06333,2.42857,0.34612,0.75000,2,3,0.27054,12.26371,5.74989,1.35546,0.92800,0.75000,-0.57000,0.00794,0.91050,2.57742,2.16665,0.37259,0.95033,0,0,0,0,0,0,0,2,1,3,0,3,2,0,4,0,0,0,0.60959,119.66988,0.43922,56.74000
N-acetyl-L-phenylalanine,4.00520,820.10726,-1.68000,-1.54250,207.08954,1.73333,0.35497,0.27273,2,4,0.17008,20.17196,9.95401,3.55959,0.88484,0.27273,-1.68000,0.00158,2.91846,5.26269,3.90948,0.46589,0.85872,0,0,0,1,1,0,1,3,1,4,0,4,2,1,5,0,0,0,1.02458,544.49929,0.52816,73.81000
1-aminocyclohexane carboxylic acid,4.15516,504.93135,-0.57000,-1.31890,143.09463,1.60000,0.34480,0.85714,3,3,0.24808,17.76371,8.72350,2.38186,0.92015,0.85714,-0.57000,0.00424,1.33201,2.58020,1.29026,0.39157,0.93937,1,0,1,0,0,0,0,2,1,3,0,3,3,1,2,1,0,1,0.87794,221.48337,0.64012,67.77000
6-aminohexanoic acid,6.29328,451.93689,-0.57000,-1.46140,131.09463,1.66667,0.34401,0.83333,3,3,0.42154,17.26371,8.22350,1.88186,0.96704,0.83333,-0.57000,0.00459,1.11498,5.56459,7.43000,0.25462,0.87261,0,0,0,0,0,0,0,2,1,3,0,3,3,0,6,0,0,0,0.74959,189.94696,0.34465,67.77000
2-aminothiazole-4-carboxylic acid,3.16930,346.40349,-0.94000,-1.62000,143.99935,2.22222,0.35216,0.00000,3,4,0.45276,8.11917,3.82896,2.80381,0.97088,0.00000,-0.94000,0.00455,2.76217,2.11953,1.24283,0.23956,0.76478,0,0,0,0,0,1,1,4,1,5,1,4,3,1,2,0,0,0,0.16318,168.19940,0.05568,80.66000
L-phenylalaninol,3.98783,654.85560,-0.86000,-0.16810,152.10699,1.81818,0.34432,0.33333,4,2,0.56967,19.35546,9.42762,2.67773,0.98475,0.33333,-0.86000,0.00520,1.45364,4.10920,2.69868,0.17398,0.94099,0,0,0,0,1,0,1,1,2,2,0,2,4,1,5,0,0,0,0.73166,181.04005,0.27792,47.87000
L-alpha-phenylglycine,3.90591,555.28588,-1.35000,-1.28050,151.06333,1.72727,0.34486,0.12500,3,3,0.31773,14.26371,6.97350,2.63186,0.94141,0.12500,-1.35000,0.00398,2.07588,3.16343,1.78231,0.33728,0.98072,0,0,0,0,1,0,1,2,1,3,0,3,3,1,3,0,0,0,0.56662,246.15010,0.37516,67.77000
N-acetyl-L-alanine,5.96687,371.37985,-0.90000,-2.76530,131.05824,2.00000,0.35495,0.60000,2,4,0.40135,13.17196,6.20401,1.80959,0.96221,0.60000,-0.90000,0.00586,1.57525,3.19033,3.66338,0.27230,0.94932,0,0,0,1,0,0,0,3,1,4,0,4,2,0,4,0,0,0,0.68682,161.86610,0.40581,73.81000
L-alanine-L-phenylalanine dipeptide,4.13760,989.04291,-1.72000,-2.93200,237.12337,1.76471,0.36783,0.33333,5,5,0.20229,25.11917,12.26926,4.03319,0.90176,0.33333,-1.72000,0.00091,2.99029,6.12334,4.33805,0.43223,0.76506,0,0,0,1,1,0,1,3,2,5,0,5,5,1,7,0,0,0,1.01468,836.93308,0.40678,101.45000
L-alanine-L-alanine dipeptide,6.69222,519.29580,-0.94000,-4.15480,161.09207,1.90909,0.36781,0.66667,5,5,0.27650,18.11917,8.51926,2.28319,0.93080,0.66667,-0.94000,0.00321,1.69685,4.04672,3.69171,0.36552,0.93652,0,0,0,1,0,0,0,3,2,5,0,5,5,0,6,0,0,0,0.78893,292.03115,0.36719,101.45000
(L)-2-Aminobutyric acid,5.85082,292.86456,-0.57000,-2.24320,103.06333,2.71429,0.34456,0.75000,3,3,0.10540,12.26371,5.72350,1.38186,0.82141,0.75000,-0.57000,0.00426,0.91050,2.57742,2.16665,0.57034,0.73927,0,0,0,0,0,0,0,2,1,3,0,3,3,0,4,0,0,0,0.60954,173.54294,0.41458,67.77000
(S)-3-Aminobutyric acid,5.91498,276.86456,-0.57000,-2.24320,103.06333,2.71429,0.34424,0.75000,3,3,0.34725,12.26371,5.72350,1.38186,0.95228,0.75000,-0.57000,0.00802,0.91050,2.57742,5.43000,0.30522,0.88956,0,0,0,0,0,0,0,2,1,3,0,3,3,0,4,0,0,0,0.60667,110.96919,0.42206,67.77000
4-Aminobutyric acid,5.61969,294.37434,-0.57000,-2.24160,103.06333,2.14286,0.34401,0.75000,3,3,0.42599,12.26371,5.72350,1.38186,0.96692,0.75000,-0.57000,0.00898,0.91050,3.61416,5.43000,0.25506,0.93544,0,0,0,0,0,0,0,2,1,3,0,3,3,0,4,0,0,0,0.58062,104.16666,0.38869,67.77000
4-Amino-3-hydroxybutyric acid,5.84047,313.85305,-0.61000,-3.27080,119.05824,2.50000,0.34408,0.75000,4,4,0.20380,12.67196,5.83587,1.58598,0.90082,0.75000,-0.61000,0.00390,1.27400,3.39930,3.57553,0.43420,0.73875,0,0,0,0,0,0,0,3,2,4,0,4,4,0,5,0,0,0,0.77509,189.59545,0.55186,88.00000
4-Amino-2-hydroxybutyric acid,5.77413,313.85305,-0.61000,-3.27080,119.05824,2.50000,0.34401,0.75000,4,4,0.16491,12.67196,5.83587,1.58598,0.87179,0.75000,-0.61000,0.00553,1.27400,3.39930,2.54399,0.48989,0.98400,0,0,0,0,0,0,0,3,2,4,0,4,4,0,5,0,0,0,0.80667,177.86004,0.66603,88.00000
"2-Methyl-1,3-thiazole-4-carboxylic acid",3.16930,344.79385,-0.90000,-0.18498,141.99682,2.22222,0.09687,0.20000,0,3,0.45769,8.17196,4.01371,2.83021,0.97166,0.20000,-0.90000,0.00470,2.78889,2.14423,1.26133,0.23638,0.76849,0,0,0,0,0,1,1,4,0,4,1,3,0,1,2,0,0,0,0.16996,163.44106,0.06034,53.02000
L-Aspartic acid 4-cyclohexyl ester,3.90539,788.64003,-1.10000,-1.38720,215.11576,1.73333,0.36493,0.80000,3,5,0.36061,24.08021,11.83587,3.49423,0.95393,0.80000,-1.10000,0.00194,2.42258,5.70135,4.29061,0.30004,0.94450,1,0,1,0,0,0,0,4,1,5,0,5,3,1,5,1,0,1,0.99102,486.14591,0.43446,94.07000
DL-Homoserine,5.91272,313.85305,-0.61000,-3.27080,119.05824,2.50000,0.34456,0.75000,4,4,0.23225,12.67196,5.83587,1.58598,0.91656,0.75000,-0.61000,0.00477,1.27400,3.39930,2.54399,0.39989,0.87173,0,0,0,0,0,0,0,3,2,4,0,4,4,0,5,0,0,0,0.72938,182.64910,0.51940,88.00000
trans-3-Aminocyclohexanecarboxylic acid hydrochloride,4.09045,540.93135,-0.57000,-1.46300,143.09463,1.90000,0.34424,0.85714,3,3,0.28654,17.76371,8.72350,2.38186,0.93651,0.85714,-0.57000,0.00335,1.33201,3.01206,1.70317,0.35065,0.80916,1,0,1,0,0,0,0,2,1,3,0,3,3,1,2,1,0,1,0.68592,241.31162,0.38065,67.77000
(R)-3-Amino-3-phenylpropionic acid,4.05438,641.43661,-1.35000,-0.89040,165.07898,1.83333,0.34454,0.22222,3,3,0.20375,16.76371,8.22350,2.88186,0.90407,0.22222,-1.35000,0.00223,2.11587,3.87520,2.35865,0.42738,0.83956,0,0,0,0,1,0,1,2,1,3,0,3,3,1,4,0,0,0,0.96646,376.52406,0.51312,67.77000
Phenyl carbamate,3.29931,446.77539,-1.51000,1.14410,137.04768,1.60000,0.40946,0.00000,2,3,0.56052,11.76371,5.73041,2.33598,0.98420,0.00000,-1.51000,0.00642,1.98504,2.86695,1.77762,0.17708,0.86338,0,0,0,1,1,0,1,2,1,3,0,3,2,1,1,0,0,0,0.22844,134.40586,0.04263,52.32000
"3,4-Dihydroxy-L-phenylalanine",3.98015,706.01766,-1.75000,-1.99930,197.06881,1.85714,0.34457,0.22222,5,5,0.38121,17.58021,8.44824,3.29010,0.95973,0.22222,-1.75000,0.00222,2.86811,3.97212,2.36671,0.28094,0.87804,0,0,0,0,1,0,1,4,3,5,0,5,5,1,6,0,0,0,0.69681,395.36113,0.29127,108.23000
"1,3-Thiazole-2-carboxylic acid",3.09665,252.72135,-0.90000,-0.49340,127.98117,2.12500,0.13831,0.00000,0,3,0.40704,5.67196,2.76371,2.58021,0.96252,0.00000,-0.90000,0.00561,3.19033,1.91596,0.84042,0.27121,0.72879,0,0,0,0,0,1,1,4,0,4,1,3,0,1,1,0,0,0,0.00007,129.81961,0.00000,53.02000
"2-Methyl-4-phenyl-1,3-thiazole-5-carboxylic acid",2.87470,784.32854,-1.68000,1.48202,218.02812,1.53333,0.09082,0.09091,0,3,0.30174,15.17196,7.76371,4.58021,0.93798,0.09091,-1.68000,0.00123,4.05824,3.82346,1.89408,0.34668,0.72046,0,0,0,0,1,1,2,4,0,4,1,3,0,2,3,0,0,0,0.63985,585.28254,0.16337,53.02000
"Imidazo[2,1-b][1,3]thiazole-6-carboxylic acid",2.83848,532.63789,-1.36000,-0.24070,166.99207,1.90909,0.19372,0.00000,0,4,0.59075,8.11917,4.18453,3.50103,0.98663,0.00000,-1.36000,0.00507,3.86790,2.06171,0.89419,0.16298,0.83702,0,0,0,0,0,2,2,5,0,5,2,4,0,2,1,0,0,0,0.00001,165.20669,0.00000,57.43000
3-Chloro-L-phenylalanine,3.91677,646.27108,-1.06000,-0.75710,199.04001,2.00000,0.34457,0.22222,3,3,0.55641,16.14167,7.91248,3.44880,0.98383,0.22222,-1.06000,0.00266,2.96870,4.25416,3.04695,0.17913,0.88581,0,0,0,0,1,0,1,2,1,4,0,3,3,1,4,0,0,0,0.67629,333.24644,0.26836,67.77000
"2-n-Butylpropane-1,3-diol",6.85731,463.36513,-0.08000,0.77740,132.11503,1.77778,0.21005,1.00000,2,2,0.28784,20.31650,9.72474,1.90825,0.93627,1.00000,-0.08000,0.00373,0.97790,6.04626,4.42505,0.35128,0.88899,0,0,0,0,0,0,0,2,2,2,0,2,2,0,8,0,0,0,0.98708,238.21065,0.54384,40.46000
"2-tert-Butylpropane-1,3-diol",6.85731,463.36513,-0.08000,0.77740,132.11503,1.77778,0.21005,1.00000,2,2,0.37234,20.31650,9.72474,1.90825,0.95785,1.00000,-0.08000,0.00334,0.97790,6.04626,4.42505,0.28728,0.79850,0,0,0,0,0,0,0,2,2,2,0,2,2,0,8,0,0,0,0.62175,239.13055,0.24730,40.46000
3-Aminoisonicotinic acid,3.61819,422.47355,-1.58000,-0.97270,137.03565,2.00000,0.15629,0.00000,2,4,0.30026,9.71092,4.72350,2.32907,0.93483,0.00000,-1.58000,0.00309,2.57404,2.34499,1.04720,0.35511,0.68346,0,0,0,0,0,1,1,4,1,4,1,4,2,1,2,0,0,0,0.13521,220.82960,0.03589,79.04000
1-Cyclohexyl-1-butanol,4.23271,687.96242,-0.04000,2.72770,156.15142,1.90909,0.21046,1.00000,1,1,0.44902,25.40825,12.61237,2.70412,0.97019,1.00000,-0.04000,0.00424,1.13430,4.76064,2.81983,0.24236,0.95528,1,0,1,0,0,0,0,1,1,1,0,1,1,1,5,1,0,1,0.81719,225.22371,0.33952,20.23000
"2-n-Pentylpropane-1,3-diol",7.05498,546.42313,-0.08000,1.16750,146.13068,1.60000,0.21005,1.00000,2,2,0.37250,22.81650,10.97474,2.15825,0.95814,1.00000,-0.08000,0.00313,1.08916,7.03211,4.76659,0.28629,0.85784,0,0,0,0,0,0,0,2,2,2,0,2,2,0,9,0,0,0,0.84483,274.34521,0.35956,40.46000
Ethyl 2-aminooxazole-4-carboxylate,2.96499,481.31909,-1.52000,0.43350,156.05349,2.36364,0.35988,0.33333,2,5,0.57870,13.11917,6.33587,2.44144,0.98579,0.33333,-1.52000,0.00502,2.23109,3.04628,1.69828,0.16799,0.87804,0,0,0,0,0,1,1,5,1,5,1,5,2,1,4,0,0,0,0.47985,175.00650,0.12554,78.35000
5-Aminopyridine-2-carboxylic acid,3.51046,422.47355,-1.58000,-0.97270,137.03565,1.90000,0.15627,0.00000,2,4,0.57734,9.71092,4.72350,2.32907,0.98550,0.00000,-1.58000,0.00642,2.57404,2.34499,1.22262,0.16968,0.83032,0,0,0,0,0,1,1,4,1,4,1,4,2,1,2,0,0,0,0.00000,129.27605,0.00000,79.04000
4-Aminopyridine-2-carboxylic acid,3.72607,463.06736,-1.58000,-1.55360,138.04293,2.10000,0.45342,0.00000,3,4,0.40914,10.71092,5.17071,2.32907,0.96295,0.00000,-1.58000,0.00374,2.22941,2.34499,1.22262,0.26968,0.73032,0,0,0,0,0,1,1,3,1,4,1,4,3,1,2,0,0,0,0.00000,195.22356,0.00000,80.29000
